GameID,Team A,Team A Score,Team A WKLoss,Team B,Team B Score,Team B WKLoss,DT_firstInning,DT_secondInning,DT_Points_TeamA,DT_Points_TeamB,DT_C_Team,DT_C_BattingOrder,DT_C_BattingOrder_Inning,DT_C_Position_Inning,DT_VC_Team,DT_VC_BattingOrder,DT_VC_BattingOrder_Inning,DT_VC_Position_Inning,DT_C_Position,DT_VC_Position,DT_CVC,DT_TeamA_PlayersCount,DT_TeamB_PlayersCount,DT_Ratio_of_Players,DT_CVC_Ratio,DT_C_Ratio_Inning,DT_VC_Ratio_Inning,DT_C_Position_Ratio_of_Players,DT_VC_Position_Ratio_of_Players,DT_TeamA_PrevMatch_PlayerCount,DT_TeamA_PrevMatch_Captain,DT_TeamA_PrevMatch_Vice-Captain,DT_TeamB_PrevMatch_PlayerCount,DT_TeamB_PrevMatch_Captain,DT_TeamB_PrevMatch_Vice-Captain
20240426PBKSKKR,PBKS,HIGH,LOW,KKR,HIGH,MED,KKR,PBKS,478,401,PBKS,2,2_2nd Inning,WK_2nd Inning,KKR,2,2_1st Inning,ALL_1st Inning,WK,ALL,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_WK_6:5,Different_ALL_6:5,4,No,Yes,6,Yes,No
20240427MIDC,MI,HIGH,HIGH,DC,HIGH,LOW,DC,MI,224,624,DC,1,1_1st Inning,BAT_1st Inning,MI,4,4_2nd Inning,BAT_2nd Inning,BAT,BAT,Different,3,8,8:3,Different_8:3,Different_1st Inning_8:3,Different_2nd Inning_8:3,Different_BAT_8:3,Different_BAT_8:3,4,No,No,5,Yes,Yes
20240427RRLSG,RR,HIGH,LOW,LSG,HIGH,MED,LSG,RR,412,241,LSG,3,3_1st Inning,WK_1st Inning,RR,2,2_2nd Inning,WK_2nd Inning,WK,WK,Different,7,4,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_WK_7:4,Different_WK_7:4,7,Yes,Yes,7,Yes,No
20240428RCBGT,RCB,HIGH,LOW,GT,HIGH,LOW,GT,RCB,385,280,RCB,3,3_2nd Inning,ALL_2nd Inning,GT,3,3_1st Inning,BAT_1st Inning,ALL,BAT,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_ALL_6:5,Different_BAT_6:5,6,Yes,No,6,No,No
20240428SRHCSK,SRH,MED,HIGH,CSK,HIGH,LOW,CSK,SRH,138,578,CSK,2,2_1st Inning,BAT_1st Inning,CSK,3,3_1st Inning,BAT_1st Inning,BAT,BAT,Same,4,7,7:4,Same_7:4,Same_1st Inning_7:4,Same_1st Inning_7:4,Same_BAT_7:4,Same_BAT_7:4,5,No,Yes,4,No,Yes
20240429DCKKR,DC,MED,HIGH,KKR,MED,LOW,DC,KKR,203,511,KKR,1,1_2nd Inning,WK_2nd Inning,KKR,12,12_2nd Inning,BOWL_2nd Inning,WK,BOWL,Same,4,7,7:4,Same_7:4,Same_2nd Inning_7:4,Same_2nd Inning_7:4,Same_WK_7:4,Same_BOWL_7:4,8,Yes,No,5,No,Yes
20240430MILSG,MI,MED,MED,LSG,MED,MED,MI,LSG,295,325,LSG,3,3_2nd Inning,ALL_2nd Inning,MI,11,11_1st Inning,BAT_1st Inning,ALL,BAT,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_ALL_6:5,Different_BAT_6:5,3,No,Yes,4,Yes,No
20240501PBKSCSK,PBKS,MED,LOW,CSK,MED,MED,CSK,PBKS,410,160,CSK,2,2_1st Inning,BAT_1st Inning,PBKS,9,9_2nd Inning,BOWL_2nd Inning,BAT,BOWL,Different,8,3,8:3,Different_8:3,Different_1st Inning_8:3,Different_2nd Inning_8:3,Different_BAT_8:3,Different_BOWL_8:3,6,Yes,No,7,Yes,Yes
20240502RRSRH,RR,HIGH,MED,SRH,HIGH,LOW,SRH,RR,315,505,SRH,4,4_1st Inning,ALL_1st Inning,RR,4,4_2nd Inning,ALL_2nd Inning,ALL,ALL,Different,4,7,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_ALL_7:4,Different_ALL_7:4,7,No,Yes,4,No,No
20240503KKRMI,KKR,MED,HIGH,MI,MED,HIGH,KKR,MI,519,370,KKR,10,10_1st Inning,BOWL_1st Inning,MI,11,11_2nd Inning,BOWL_2nd Inning,BOWL,BOWL,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BOWL_6:5,Different_BOWL_6:5,7,Yes,Yes,6,No,Yes
